funders,count
National Science Foundation,23
National Natural Science Foundation of China,18
American Chemical Society,16
Royal Society,14
Deutsche Forschungsgemeinschaft,11
U.S. Department of Energy,9
American Chemical Society,,7
Research and Development,7
Office of Science,6
European Research Council,6
Office of Science,,5
American Association for the Advancement of Science,5
Ministry of Education,5
Seventh Framework Programme,5
Harvard University,4
Orange,4
Oak Ridge National Laboratory,4
Zhejiang University,,4
Basic Energy Sciences,4
Argonne National Laboratory,,4
EMBO,4
U.S. Department of Energy,,4
Air Force Office of Scientific Research,4
Canadian Institute for Advanced Research,3
National Institute of Standards and Technology,3
University College London,3
Ministry of Education,,3
Cornell University,3
Merck,3
Shell,3
Chinese Academy of Sciences,3
National Science Foundation.,3
National Academy of Sciences,2
Huazhong University of Science and Technology,,2
National Institutes of Health,2
Ministerio de Economía y Competitividad,2
SPIE,2
World Health Organization,2
Nanyang Technological University,,2
Consiglio Nazionale delle Ricerche,,2
Chinese Academy of Sciences,,2
National Research Foundation,2
Università degli Studi di Padova,,2
American Chemical Society;,2
Radboud University Nijmegen,,2
China University of Mining and Technology,2
École Polytechnique Fédérale de Lausanne,,2
Ministry of Science and Technology,2
Engineering and Physical Sciences Research Council,2
Universität Hamburg,,2
Chevron,2
Science and Engineering Research Board,,2
Harvard University,,2
Science Foundation Ireland,2
Waseda University,2
Northwestern University,,2
Narodowe Centrum Nauki,2
Princeton University,2
Korea Institute of Science and Technology,2
Lawrence Berkeley National Laboratory,,2
University of Calgary,,2
Bayer,2
Hitachi,2
Novo Nordisk,2
Japan Science and Technology Agency,2
Brookhaven National Laboratory,2
Canadian Network for Research and Innovation in Machining Technology, Natural Sciences and Engineering Research Council of Canada,1
Consiglio Nazionale delle Ricerche,1
Natural Science Foundation of Zhejiang Province,1
Royal Society,,1
World Community Grid,1
University of California,1
Universidade de Brasília,,1
Bar-Ilan University,1
Defense Threat Reduction Agency,1
Instituto de Salud Carlos III,1
Tyson,1
Deutsches Elektronen-Synchrotron,1
Knowledge Foundation,1
University of Melbourne,1
Humboldt-Universität zu Berlin,1
Beijing Normal University,,1
Microsoft,1
Welch Foundation,1
California Institute of Technology,,1
Vetenskapsrådet,1
La Trobe University,1
University of Ottawa,,1
Imperial College London,1
University of Toronto,1
University of Florida,,1
Sun Yat-sen University,1
International Union of Pure and Applied Chemistry,1
RIKEN,1
Universidad de Buenos Aires,1
Wellcome Trust,1
Lawrence Livermore National Laboratory,,1
University of Michigan,1
Technische Universität Dresden,,1
Tufts University,1
Incheon National University,,1
York University;,1
Joint Information Systems Committee,1
University of Tokyo,,1
Louisiana State University,1
University of Nevada, Las Vegas,,1
University of Toronto,,1
King’s College London,1
Kyoto University,,1
University of Houston,1
National Center for Research Resources,1
Indiana University,1
Clemson University,1
Dalian Institute of Chemical Physics,,1
Oak Ridge National Laboratory.,1
University of Oklahoma,1
School of Medicine,,1
Arizona State University,,1
Hunan University,,1
Massachusetts General Hospital,,1
Novartis,1
Nankai University.,1
Tokyo Institute of Technology,1
Agilent Technologies,1
University of Connecticut,1
University of Chicago,,1
Nankai University,,1
Cisco Systems,1
Cornell University,,1
Institute of Physics,,1
Simons Foundation.,1
Japan Society for the Promotion of Science,1
Argonne National Laboratory,1
American Physical Society,,1
Brown University,1
Technische Universität München,1
Basic Energy Sciences,,1
Natural Science Foundation of Jiangsu Province,,1
University of Auckland,1
Fundação de Amparo à Pesquisa do Estado de São Paulo,1
EMC,1
Thermo Scientific,1
Central European Institute of Technology,,1
University of Michigan,,1
Massachusetts Institute of Technology,,1
Food and Drug Administration,1
University of Tennessee,1
Universidad de Granada,1
Alexander von Humboldt-Stiftung,1
Technische Universität München,,1
Universidad Autónoma de Madrid,1
Natural Science Foundation of Jiangsu Province,1
Columbia University,,1
Chongqing University,,1
University of Cincinnati,,1
Northwestern Polytechnical University,1
Dalian University of Technology,,1
University of Central Florida,1
School of Chemistry, University of Nottingham,1
Imperial College London,,1
Consejo Superior de Investigaciones Científicas,1
Austrian Science Fund,1
Howard Hughes Medical Institute,1
Knut och Alice Wallenbergs Stiftelse,1
Sichuan University,1
Australian National University,1
High Energy Physics,1
Universidad de Zaragoza,,1
University of California,,1
Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung,1
National Cancer Institute,1
Universitat de Barcelona,1
Deutsche Forschungsgemeinschaft.,1
Natural Sciences and Engineering Research Council of Canada,1
National Natural Science Foundation of China,,1
University of Bristol,1
University College London,,1
Science and Technology Facilities Council,1
Pennsylvania State University,,1
National Institutes of Natural Sciences,1
Harvard School of Engineering and Applied Sciences,1
Natural Science Foundation of Zhejiang Province,,1
Tsinghua University,1
Institute of Physics,1
Bayerische Akademie der Wissenschaften,,1
Fudan University,,1
University of Ottawa,1
